locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
26,Inpesca,pm10,27.0,"{'utc': '2024-12-21T03:00:00+00:00', 'local': '2024-12-21T00:00:00-03:00'}",µg/m³,"{'latitude': -36.737202, 'longitude': -73.104427}",CL,,False,,Governmental Organization,reference grade
26,Inpesca,pm10,27.0,"{'utc': '2024-12-21T02:00:00+00:00', 'local': '2024-12-20T23:00:00-03:00'}",µg/m³,"{'latitude': -36.737202, 'longitude': -73.104427}",CL,,False,,Governmental Organization,reference grade
26,Inpesca,pm10,27.0,"{'utc': '2024-12-21T01:00:00+00:00', 'local': '2024-12-20T22:00:00-03:00'}",µg/m³,"{'latitude': -36.737202, 'longitude': -73.104427}",CL,,False,,Governmental Organization,reference grade
31,Wekerom-Riemterdijk,pm25,-999.0,"{'utc': '2024-12-21T05:00:00+00:00', 'local': '2024-12-21T06:00:00+01:00'}",µg/m³,"{'latitude': 52.11162100019676, 'longitude': 5.708418999868416}",NL,,False,,Governmental Organization,reference grade
31,Wekerom-Riemterdijk,pm25,-999.0,"{'utc': '2024-12-21T04:00:00+00:00', 'local': '2024-12-21T05:00:00+01:00'}",µg/m³,"{'latitude': 52.11162100019676, 'longitude': 5.708418999868416}",NL,,False,,Governmental Organization,reference grade
31,Wekerom-Riemterdijk,pm25,-999.0,"{'utc': '2024-12-21T03:00:00+00:00', 'local': '2024-12-21T04:00:00+01:00'}",µg/m³,"{'latitude': 52.11162100019676, 'longitude': 5.708418999868416}",NL,,False,,Governmental Organization,reference grade
31,Wekerom-Riemterdijk,pm25,-999.0,"{'utc': '2024-12-21T02:00:00+00:00', 'local': '2024-12-21T03:00:00+01:00'}",µg/m³,"{'latitude': 52.11162100019676, 'longitude': 5.708418999868416}",NL,,False,,Governmental Organization,reference grade
31,Wekerom-Riemterdijk,pm25,5.71492,"{'utc': '2024-12-21T01:00:00+00:00', 'local': '2024-12-21T02:00:00+01:00'}",µg/m³,"{'latitude': 52.11162100019676, 'longitude': 5.708418999868416}",NL,,False,,Governmental Organization,reference grade
33,Zaanstad-Hemkade,no2,25.0,"{'utc': '2024-12-21T04:00:00+00:00', 'local': '2024-12-21T05:00:00+01:00'}",µg/m³,"{'latitude': 52.420230000140556, 'longitude': 4.832060000156797}",NL,,False,,Governmental Organization,reference grade
33,Zaanstad-Hemkade,no2,14.7,"{'utc': '2024-12-21T03:00:00+00:00', 'local': '2024-12-21T04:00:00+01:00'}",µg/m³,"{'latitude': 52.420230000140556, 'longitude': 4.832060000156797}",NL,,False,,Governmental Organization,reference grade
33,Zaanstad-Hemkade,no2,15.6,"{'utc': '2024-12-21T02:00:00+00:00', 'local': '2024-12-21T03:00:00+01:00'}",µg/m³,"{'latitude': 52.420230000140556, 'longitude': 4.832060000156797}",NL,,False,,Governmental Organization,reference grade
33,Zaanstad-Hemkade,no2,13.6,"{'utc': '2024-12-21T01:00:00+00:00', 'local': '2024-12-21T02:00:00+01:00'}",µg/m³,"{'latitude': 52.420230000140556, 'longitude': 4.832060000156797}",NL,,False,,Governmental Organization,reference grade
38,Cauquenes,so2,15.96,"{'utc': '2024-12-21T03:00:00+00:00', 'local': '2024-12-21T00:00:00-03:00'}",µg/m³,"{'latitude': -34.241168, 'longitude': -70.55283}",CL,,False,,Governmental Organization,reference grade
38,Cauquenes,so2,16.1,"{'utc': '2024-12-21T02:00:00+00:00', 'local': '2024-12-20T23:00:00-03:00'}",µg/m³,"{'latitude': -34.241168, 'longitude': -70.55283}",CL,,False,,Governmental Organization,reference grade
