locationId,location,parameter,pm25_value,unit,country,latitude,longitude,datetime_utc
31,Wekerom-Riemterdijk,pm25,5.71492,µg/m³,NL,52.111621,5.708419,2024-12-21 01:00:00+00:00
41,Groningen-Europaweg,pm25,5.08674,µg/m³,NL,53.217796,6.578901,2024-12-21 04:00:00+00:00
41,Groningen-Europaweg,pm25,6.11182,µg/m³,NL,53.217796,6.578901,2024-12-21 03:00:00+00:00
41,Groningen-Europaweg,pm25,5.5199,µg/m³,NL,53.217796,6.578901,2024-12-21 02:00:00+00:00
41,Groningen-Europaweg,pm25,10.5032,µg/m³,NL,53.217796,6.578901,2024-12-21 01:00:00+00:00
47,Valparaiso,pm25,21,µg/m³,CL,-33.0497438,-71.61416723,2024-12-21 02:00:00+00:00
47,Valparaiso,pm25,21,µg/m³,CL,-33.0497438,-71.61416723,2024-12-21 01:00:00+00:00
52,Rotterdam-Oost Sidelinge A13,pm25,6.1,µg/m³,NL,51.938472,4.430692,2024-12-21 04:00:00+00:00
52,Rotterdam-Oost Sidelinge A13,pm25,5.7,µg/m³,NL,51.938472,4.430692,2024-12-21 03:00:00+00:00
52,Rotterdam-Oost Sidelinge A13,pm25,6.7,µg/m³,NL,51.938472,4.430692,2024-12-21 02:00:00+00:00
52,Rotterdam-Oost Sidelinge A13,pm25,8.1,µg/m³,NL,51.938472,4.430692,2024-12-21 01:00:00+00:00
65,Punteras,pm25,12,µg/m³,CL,-36.9233296,-73.0361323,2024-12-21 03:00:00+00:00
65,Punteras,pm25,12,µg/m³,CL,-36.9233296,-73.0361323,2024-12-21 02:00:00+00:00
65,Punteras,pm25,12,µg/m³,CL,-36.9233296,-73.0361323,2024-12-21 01:00:00+00:00
68,Cerro Merquín,pm25,15,µg/m³,CL,-37.02118288,-73.14955555,2024-12-21 02:00:00+00:00
68,Cerro Merquín,pm25,15,µg/m³,CL,-37.02118288,-73.14955555,2024-12-21 01:00:00+00:00
69,Kingston College,pm25,14,µg/m³,CL,-36.78465374,-73.05206303,2024-12-21 02:00:00+00:00
69,Kingston College,pm25,14,µg/m³,CL,-36.78465374,-73.05206303,2024-12-21 01:00:00+00:00
